2022-01-10 09:44:22,913 [restartedMain] INFO  [com.bsjx.mes.pdm.PdmApplication] StartupInfoLogger.java:55 - Starting PdmApplication on WINDOWS-6JNKEE0 with PID 6336 (D:\xiangmu\mes\mes-backend\mes-pdm-master\target\classes started by EDZ in D:\xiangmu\mes\mes-backend\mes-pdm-master)
2022-01-10 09:44:22,916 [restartedMain] INFO  [com.bsjx.mes.pdm.PdmApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2022-01-10 09:44:22,962 [restartedMain] INFO  [o.s.boot.devtools.restart.ChangeableUrls] DeferredLog.java:225 - The Class-Path manifest attribute in C:\Users\EDZ\.m2\repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2022-01-10 09:44:22,962 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] DeferredLog.java:225 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-01-10 09:44:23,549 [restartedMain] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-01-10 09:44:23,722 [restartedMain] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:182 - Finished Spring Data repository scanning in 162ms. Found 10 repository interfaces.
2022-01-10 09:44:24,274 [restartedMain] INFO  [org.hibernate.jpa.internal.util.LogHelper] LogHelper.java:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-01-10 09:44:24,365 [restartedMain] INFO  [org.hibernate.Version] Version.java:46 - HHH000412: Hibernate Core {5.4.6.Final}
2022-01-10 09:44:24,562 [restartedMain] INFO  [org.hibernate.annotations.common.Version] JavaReflectionManager.java:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2022-01-10 09:44:24,690 [restartedMain] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:110 - HikariPool-1 - Starting...
2022-01-10 09:44:24,993 [restartedMain] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:123 - HikariPool-1 - Start completed.
2022-01-10 09:44:25,008 [restartedMain] INFO  [org.hibernate.dialect.Dialect] Dialect.java:172 - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
2022-01-10 09:44:25,240 [restartedMain] WARN  [org.hibernate.id.UUIDHexGenerator] UUIDHexGenerator.java:42 - HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
2022-01-10 09:44:25,871 [restartedMain] INFO  [o.h.e.t.jta.platform.internal.JtaPlatformInitiator] JtaPlatformInitiator.java:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-01-10 09:44:25,879 [restartedMain] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-01-10 09:44:27,008 [restartedMain] INFO  [o.s.ws.soap.saaj.SaajSoapMessageFactory] SaajSoapMessageFactory.java:141 - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
2022-01-10 09:44:27,666 [restartedMain] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'taskScheduler'
2022-01-10 09:44:27,838 [restartedMain] INFO  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] OptionalLiveReloadServer.java:57 - LiveReload server is running on port 35729
2022-01-10 09:44:27,911 [restartedMain] INFO  [com.bsjx.mes.pdm.PdmApplication] StartupInfoLogger.java:61 - Started PdmApplication in 5.323 seconds (JVM running for 6.619)
2022-01-10 09:44:27,913 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:27,917 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:44:28,076 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:28,076 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:33,086 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:33,086 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:44:33,098 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:33,099 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:38,110 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:38,112 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:44:38,122 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:38,122 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:43,130 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:43,130 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:44:43,139 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:43,139 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:48,150 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:48,152 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:44:48,161 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:48,161 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:53,171 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:53,172 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:44:53,183 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:53,184 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:58,193 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:44:58,193 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:44:58,202 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:44:58,202 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:45:00,030 [scheduling-1] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
